,col_name,feature_importance_vals
26,IRPAR_USAGE_V12_MAX_2,0.17831123
10,g_MNT_TOT_ASSURANCE_CRI_grp_3,0.16517743
5,g_PCT_TEG_TAEG_CRI_grp_4,0.1343399
32,COD_CPPOP_CRI_2,0.13356553
16,g_BEST_APPORT_TX_BRP_grp_4,0.089055516
7,g_MOY_ANC_PROF_BRP_grp_3,0.081183024
31,COD_CPPOP_CRI_1,0.08008377
30,COD_SITU_LOGT_CRI_3,0.07546145
2,g_quotite_grp_4,0.06290872
15,g_BEST_APPORT_TX_BRP_grp_3,0.0531999
13,g_COUT_RACHAT_BRP_grp_3,0.04695248
9,g_MNT_TOT_ASSURANCE_CRI_grp_2,0.045247406
19,QUA_INT_MAX_BRP_1,0.03490186
1,g_quotite_grp_3,0.027352393
34,CODTYP_CRT_TRAVAIL_CRI_2,0.027265303
25,IRPAR_USAGE_V12_MAX_1,0.026874304
14,g_BEST_APPORT_TX_BRP_grp_2,0.023902358
22,QUA_INT_1_BRP_2,0.021472316
28,COD_TYPE_MARCHE_CRI_1,0.019563513
24,IRPRO_USAGE_V12_MAX_1,0.01851523
21,QUA_INT_1_BRP_1,0.01706208
12,g_COUT_RACHAT_BRP_grp_2,0.015004368
3,g_PCT_TEG_TAEG_CRI_grp_2,0.010891957
18,TOP_NAT_FR_CRI_1,0.009117101
0,g_quotite_grp_2,0.004829006
4,g_PCT_TEG_TAEG_CRI_grp_3,0.0043756543
6,g_MOY_ANC_PROF_BRP_grp_2,0.0038422607
33,CODTYP_CRT_TRAVAIL_CRI_1,0.0036100748
27,IND_PRIMO_ACCEDT_CRI_1,0.002734009
20,QUA_INT_MAX_BRP_2,0.0021719686
23,QUA_INT_1_BRP_3,0.0013759141
29,COD_SITU_LOGT_CRI_2,0.0008062543
11,g_MNT_TOT_ASSURANCE_CRI_nan,0.0
8,g_MOY_ANC_PROF_BRP_nan,0.0
17,g_BEST_APPORT_TX_BRP_nan,0.0
